payment_id,amount,date,customer_ref,vendor
pay_1108,10831.24,2026-08-13,ORD-8109,Nykaa E-Retail
pay_1110,6491.59,2026-08-06,ORD-8111,Amazon Seller Services
pay_1111,8449.16,2026-08-04,ORD-8112,Uber India
pay_1112,8060.28,2026-08-18,ORD-8113,Swiggy
pay_1113,12261.91,2026-08-17,ORD-8114,BigBasket
pay_1114,11205.84,2026-08-16,ORD-8115,Uber India
pay_1115,9637.03,2026-08-25,ORD-8116,Myntra Designs
pay_1116,6709.55,2026-08-23,ORD-8117,Ola Cabs
pay_1117,4931.02,2026-08-18,ORD-8118,Zomato
pay_1118,5868.31,2026-08-05,ORD-8119,Swiggy
pay_1119,6231.88,2026-08-18,ORD-8120,Zomato
