payment_id,settlement_id,invoice_id,label,case_type
pay_1068,stl_5068,INV-8068,MATCH,clean_exact
pay_1069,stl_5069,INV-8069,MATCH,clean_exact
pay_1070,stl_5070,INV-8070,MATCH,clean_exact
pay_1071,stl_5071,INV-8071,MATCH,clean_exact
pay_1072,stl_5072,INV-8072,MATCH,clean_exact
pay_1073,stl_5073,INV-8073,MATCH,clean_exact
pay_1074,stl_5074,INV-8074,MATCH,clean_exact
pay_1075,stl_5075,INV-8075,MATCH,clean_exact
pay_1076,stl_5076,INV-8076,MATCH,clean_exact
pay_1077,stl_5077,INV-8077,MATCH,clean_exact
pay_1078,stl_5078,INV-8078,MATCH,noisy_date_shift
pay_1079,stl_5079,INV-8079,MATCH,noisy_ref_reformat
pay_1080,stl_5080,INV-8080,MATCH,noisy_fee_deducted
pay_1081,stl_5081,INV-8081,MATCH,noisy_typo_ref
pay_1082,stl_5082,INV-8082,MATCH,noisy_date_shift
pay_1083,stl_5083,INV-8083,MATCH,noisy_ref_reformat
pay_1084,stl_5084,INV-8084,MATCH,noisy_fee_deducted
pay_1085,stl_5085,INV-8085,MATCH,noisy_typo_ref
pay_1086,stl_5086,INV-8086,MATCH,noisy_date_shift
pay_1087,stl_5087,INV-8087,MATCH,noisy_ref_reformat
pay_1088,stl_5088,INV-8088,MATCH,noisy_fee_deducted
pay_1089,stl_5089,INV-8089,MATCH,noisy_typo_ref
pay_1090,stl_5090,INV-8090,MATCH,noisy_date_shift
pay_1091,stl_5091,INV-8091,MATCH,noisy_ref_reformat
pay_1092,stl_5092,INV-8092,MATCH,noisy_fee_deducted
pay_1093,stl_5093,INV-8093,MATCH,noisy_typo_ref
pay_1094,stl_5094,INV-8094,MATCH,noisy_date_shift
pay_1095,stl_5095,INV-8095,MATCH,noisy_ref_reformat
pay_1096,stl_5096,INV-8096,MATCH,noisy_fee_deducted
pay_1097,stl_5097,INV-8097,MATCH,noisy_typo_ref
pay_1098,NONE,INV-8098,EXCEPTION,missing_settlement
pay_1099,stl_5099,INV-8099,EXCEPTION,amount_mismatch_large
pay_1100,stl_5100,NONE,EXCEPTION,missing_ledger
NONE,stl_5101,NONE,EXCEPTION,orphan_settlement
pay_1102,NONE,INV-8102,EXCEPTION,missing_settlement
pay_1103,stl_5103,INV-8103,EXCEPTION,amount_mismatch_large
pay_1104,stl_5104,NONE,EXCEPTION,missing_ledger
NONE,stl_5105,NONE,EXCEPTION,orphan_settlement
pay_1106,NONE,INV-8106,EXCEPTION,missing_settlement
pay_1107,stl_5107,INV-8107,EXCEPTION,amount_mismatch_large
pay_1108,stl_5108,NONE,EXCEPTION,missing_ledger
NONE,stl_5109,NONE,EXCEPTION,orphan_settlement
pay_1110,NONE,INV-8110,EXCEPTION,missing_settlement
pay_1111,stl_5111,INV-8111,MATCH,ambiguous_duplicate_candidate
pay_1112,stl_5113,INV-8112,MATCH,ambiguous_duplicate_candidate
pay_1113,stl_5115,INV-8113,MATCH,ambiguous_duplicate_candidate
pay_1114,stl_5117,INV-8114,MATCH,ambiguous_duplicate_candidate
pay_1115,stl_5119,INV-8115,MATCH,ambiguous_duplicate_candidate
pay_1116,stl_5121,INV-8116,MATCH,ambiguous_duplicate_candidate
pay_1117,stl_5123,INV-8117,MATCH,ambiguous_duplicate_candidate
pay_1118,stl_5125,INV-8118,MATCH,ambiguous_duplicate_candidate
pay_1119,stl_5127,INV-8119,MATCH,ambiguous_duplicate_candidate
